"","Prov-Cod","Prov","Dist.","US","SIS-Cod","central_code","qSupLevel","supervisor","qSupCode","qGIPartner","domainScore1","domainScore2","domainScore3","domainScore4","domainScore5","domainScore7"
"1","02","CABO DELGADO","ANCUABE","CS Ntutupue","fOMensxYJQ4","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",93,78,100,13,80,76
"2","02","CABO DELGADO","CIDADE DE PEMBA","CS B. Cariocó","u7Y7rqlYB3g","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",87,89,100,100,80,91
"3","02","CABO DELGADO","CIDADE DE PEMBA","CS Chuiba","VN93iwE183q","supervisao999","central","MISAU","supervisao999","nao_ajuda",57,78,50,88,100,70
"4","02","CABO DELGADO","METUGE","CS Metuge","q6yzjdauWyx","supervisao999","central","MISAU","supervisao999","FUNDACAO ARIEL",100,100,88,63,80,89
"5","02","CABO DELGADO","NAMUNO","CS Nicuita","BkVI1OHXHx0","supervisao999","provincial","SPS","02","nao_ajuda",64,100,88,50,100,77
"6","08","INHAMBANE","HOMOINE","CS Homoine","VjpiUDWADWj","supervisao999","central","MISAU","supervisao999","EGPAF",80,67,100,88,60,80
"7","08","INHAMBANE","MAXIXE","HR Chicuque","A7Ufxcr4R37","supervisao999","central","MISAU","supervisao999","EGPAF",80,44,88,88,100,78
"8","08","INHAMBANE","MORRUMBENE","CS Morrumbene","v7yWEibceYk","supervisao999","central","MISAU","supervisao999","EGPAF",100,67,88,100,80,89
"9","06","MANICA","BÁRUE","HD Catandica","C5sZYUmuWE2","supervisao999","central","MISAU","supervisao999","ECHO",87,89,88,75,100,87
"10","06","MANICA","CIDADE DE CHIMOIO","CS Nhamaonha","sm7nB6raArY","supervisao999","central","MISAU","supervisao999","ECHO",67,78,88,75,100,78
"11","06","MANICA","GONDOLA","CS Mutocoma","agwdFPrFJnr","supervisao999","central","MISAU","supervisao999","nao_ajuda",93,56,63,88,100,80
"12","06","MANICA","GURO","CS Guro - Sede","uhbknO6KTt5","supervisao999","central","MISAU","supervisao999","ECHO",100,100,75,88,100,93
"13","03","NAMPULA","ANGOCHE","HR Angoche","J2qZCU8X0BI","supervisao999","central","MISAU","supervisao999","ICAP",100,100,75,88,100,93
"14","03","NAMPULA","DISTRITO DE NAMPULA","CS 25 de Setembro","pt3uFvNsHDF","supervisao999","central","MISAU","supervisao999","ICAP",100,100,100,63,100,93
"15","03","NAMPULA","DISTRITO DE NAMPULA","CS Niarro","MEEriHK2OlN","supervisao999","central","MISAU","supervisao999","ICAP",93,89,88,63,100,87
"16","03","NAMPULA","MOGOVOLAS","CS Nanhupo Rio","RyHDFZVUdXW","supervisao999","central","MISAU","supervisao999","ICAP",100,100,50,38,100,80
"17","07","SOFALA","CHERINGOMA","CS Inhaminga","PBYuexaSh6x","supervisao999","central","MISAU","supervisao999","ECHO",67,89,57,75,100,75
"18","07","SOFALA","DONDO","CS Mafambisse","LQDwTv4guwS","supervisao999","central","MISAU","supervisao999","ECHO",87,89,63,88,100,84
"19","07","SOFALA","MUANZA","CS Muanza","Ve066Oi87qb","supervisao999","central","MISAU","supervisao999","ECHO",86,89,63,75,80,80
"20","05","TETE","CHANGARA","CS Changara","hCtIJsUJf1z","supervisao999","central","MISAU","supervisao999","ECHO",100,100,100,100,100,100
"21","05","TETE","CHANGARA","CS Chipembere","IszmV9QEbDo","supervisao999","central","MISAU","supervisao999","nao_ajuda",86,78,75,88,80,82
"22","05","TETE","CIDADE DE TETE","HP Tete","CgH5aTlqbTe","supervisao999","central","MISAU","supervisao999","ECHO",80,56,100,100,100,84
"23","05","TETE","MOATIZE","CS Moatize","HutmsTbIiVr","supervisao999","central","MISAU","supervisao999","ECHO",100,89,88,88,100,93
